id;İsim;Soyisim;Doğum Tarihi;Eşi;Anne Adı;Baba Adı;Kan Grubu;Meslek;Medeni Hali;Kızlık Soyismi;Cinsiyet
1;Emin;Kaya;02/07/1946;SenaKaya;Ayşe;Mehmet;0(-);Marangoz;Evli;;Erkek
2;Sena;Kaya;26.01.1949;EminKaya;Hatice;Ali;A(-);Ev Hanımı;Evli;Çetin;Kadın
3;Nazlı;Demir;21.02.1969;UğurDemir;Sena;Emin;A(-);Ev Hanımı;Evli;Kaya;Kadın
4;Mehmet;Kaya;14.04.1971;ZeynepKılıç;Sena;Emin;0(-);Marangoz;Evli;;Erkek
5;Mustafa;Kaya;4.08.1973;Elif;Sena;Emin;0(-);Marangoz;Evli;;Erkek
6;Defne;Çelik;8.07.1993;AhmetÇelik;Nazlı;Uğur;AB(+);Mühendis;Evli;Demir;Kadın
7;Ömer;Demir;19.04.1995;Eda;Nazlı;Uğur;A(+);Doktor;Evli;;Erkek
8;Emin;Kaya;2.02.2000;;Zeynep;Mehmet;0(+);Marangoz;Bekar;;Erkek
9;Hatice;Kaya;17.09.2003;;Zeynep;Mehmet;A(+);Öğrenci;Bekar;;Kadın
10;Emre;Kaya;5.04.2006;;Zeynep;Mehmet;0(+);Öğrenci;Bekar;;Erkek
11;Alper;Kaya;10.10.2004;;Elif;Mustafa;0(-);Öğrenci;Bekar;;Erkek
12;İrem;Çelik;9.09.2009;;Defne;Ahmet;A(+);Öğrenci;Bekar;;Kadın
13;Ali;Demir;6.08.2021;;Eda;Ömer;0(+);;Bekar;;Erkek
14;Uğur;Demir;4.07.1967;NazlıKaya;Fatma;Bayram;B(-);Öğretmen;Evli;;Erkek
15;Furkan;Çelik;1.01.1941;Zeynep;Feride;Yaşar;0(-);Terzi;Evli;;Erkek
16;Zeynep;Çelik;7.06.1945;Furkan;Hayriye;Feyzi;AB(+);Ev Hanımı;Evli;Koç;Kadın
17;Halime;Kurt;5.05.1965;Faruk;Zeynep;Furkan;AB(+);Ev Hanımı;Evli;Çelik;Kadın
18;Gül;Özkan;4.02.1968;Hasan;Zeynep;Furkan;0(+);Muhasebeci;Evli;Çelik;Kadın
19;Bekir;Çelik;11.10.1970;Kübra;Zeynep;Furkan;B(-);Terzi;Evli;;Erkek
20;Semra;Aslan;10.11.1988;MahmutAslan;Halime;Faruk;B(-);Ev Hanımı;Evli;Çelik;Kadın
21;Yaşar;Kurt;9.08.1990;Esra;Halime;Faruk;AB(+);Mühendis;Evli;;Erkek
22;Orhan;Özkan;2.01.1990;Feride;Gül;Hasan;0(-);Terzi;Evli;;Erkek
23;Necmi;Özkan;7.02.1992;Gökçe;Gül;Hasan;A(+);Polis;Evli;;Erkek
24;Ahmet;Çelik;27.06.1992;Defne;Kübra;Bekir;B(-);Avukat;Evli;;Erkek
25;Yusuf;Özkan;9.04.2016;;Gökçe;Necmi;0(+);;Bekar;;Erkek
26;Furkan;Özkan;29.11.2018;;Gökçe;Necmi;A(+);;Bekar;;Erkek
27;Merve;Özkan;10.10.2017;;Feride;Orhan;B(-);;Bekar;;Kadın
28;Ahmet;Kurt;8.04.2014;;Esra;Yaşar;A(+);Öğrenci;Bekar;;Erkek
29;Almila;Kurt;14.02.2016;;Esra;Yaşar;AB(+);;Bekar;;Kadın
30;Yılmaz;Aslan;17.10.2012;;Semra;Mahmut;0(-);Öğrenci;Bekar;;Erkek
31;Mahmut;Aslan;10.10.1986;Semra;Funda;Yakup;0(+);İşçi;Evli;;Erkek
32;Yıldız;Aslan;8.06.1994;;Funda;Yakup;AB(+);Öğretmen;Dul;;Kadın
33;İrem;Şimşek;4.04.2014;;Yıldız;Ahmet;0(-);Öğrenci;Bekar;;Kadın
